172.19.0.1 - - [09/Nov/2021:10:19:11 +0000] "GET /assets/js/main.js HTTP/1.1" 404 489 "http://localhost:8080/index.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
172.19.0.1 - - [09/Nov/2021:10:19:22 +0000] "GET / HTTP/1.1" 200 1918 "http://localhost:8080/index.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
172.19.0.1 - - [09/Nov/2021:10:19:22 +0000] "GET /assets/css/onlinewebfonts.css HTTP/1.1" 404 489 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
172.19.0.1 - - [09/Nov/2021:10:19:22 +0000] "GET /assets/css/vno.css HTTP/1.1" 404 490 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
172.19.0.1 - - [09/Nov/2021:10:19:22 +0000] "GET /assets/css/iconfont.css HTTP/1.1" 404 490 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
172.19.0.1 - - [09/Nov/2021:10:19:22 +0000] "GET /assets/js/jquery.min.js HTTP/1.1" 404 489 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
172.19.0.1 - - [09/Nov/2021:10:19:22 +0000] "GET /assets/js/fetch.min.js HTTP/1.1" 404 489 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
172.19.0.1 - - [09/Nov/2021:10:19:22 +0000] "GET /assets/js/main.js HTTP/1.1" 404 489 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
172.19.0.1 - - [09/Nov/2021:10:19:22 +0000] "GET /img/logo3.jpg HTTP/1.1" 404 490 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
172.19.0.1 - - [09/Nov/2021:10:19:22 +0000] "GET /assets/js/fetch.min.js HTTP/1.1" 404 489 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
172.19.0.1 - - [09/Nov/2021:10:19:22 +0000] "GET /assets/js/main.js HTTP/1.1" 404 489 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
